Date_Time,altimeter_set_1,air_temp_set_1,relative_humidity_set_1,sea_level_pressure_set_1,sea_level_pressure_set_1d
12/31/2021 03:45 AKST,100541.83,-15,65.49,,100718.64
12/31/2021 03:50 AKST,100541.83,-15,65.49,,100718.64
12/31/2021 03:53 AKST,100541.83,-15,65.49,100690,100718.64
12/31/2021 03:55 AKST,100541.83,-15,65.49,,100718.64
12/31/2021 04:00 AKST,100541.83,-15,65.49,,100718.64
12/31/2021 04:05 AKST,100541.83,-15,65.49,,100718.64
12/31/2021 04:10 AKST,100507.97,-15,60.03,,100684.72
12/31/2021 04:15 AKST,100507.97,-15,60.03,,100684.72
12/31/2021 04:20 AKST,100507.97,-15,60.03,,100684.72
12/31/2021 04:25 AKST,100507.97,-15,60.03,,100684.72
12/31/2021 04:30 AKST,100507.97,-15,60.03,,100684.72
12/31/2021 04:35 AKST,100507.97,-15,60.03,,100684.72
12/31/2021 04:40 AKST,100507.97,-16,65.23,,100691.54
12/31/2021 04:45 AKST,100507.97,-17,70.94,,100698.4
12/31/2021 04:50 AKST,100507.97,-17,64.98,,100698.41
12/31/2021 04:53 AKST,100507.97,-16.7,64.98,100650,100696.34
12/31/2021 04:55 AKST,100507.97,-17,64.98,,100698.41
12/31/2021 05:00 AKST,100474.1,-17,64.98,,100664.47
12/31/2021 05:05 AKST,100474.1,-17,64.98,,100664.47
12/31/2021 05:10 AKST,100474.1,-17,64.98,,100664.47
12/31/2021 05:15 AKST,100474.1,-17,64.98,,100664.47
12/31/2021 05:20 AKST,100474.1,-18,70.72,,100671.4
12/31/2021 05:25 AKST,100440.24,-18,70.72,,100637.47
12/31/2021 05:30 AKST,100440.24,-17,64.98,,100630.55
12/31/2021 05:35 AKST,100440.24,-17,64.98,,100630.55
12/31/2021 05:40 AKST,100440.24,-16,59.75,,100623.69
12/31/2021 05:45 AKST,100440.24,-16,59.75,,100623.69
12/31/2021 05:50 AKST,100440.24,-16,59.75,,100623.69
12/31/2021 05:53 AKST,100440.24,-16.1,59.75,100590,100624.37
12/31/2021 05:55 AKST,100440.24,-16,59.75,,100623.69
12/31/2021 06:00 AKST,100440.24,-16,59.75,,100623.69
12/31/2021 06:05 AKST,100440.24,-16,59.75,,100623.69
12/31/2021 06:10 AKST,100440.24,-16,59.75,,100623.69
12/31/2021 06:15 AKST,100406.38,-16,59.75,,100589.76
12/31/2021 06:20 AKST,100406.38,-16,59.75,,100589.76
12/31/2021 06:25 AKST,100406.38,-16,59.75,,100589.76
12/31/2021 06:30 AKST,100406.38,-17,64.98,,100596.62
12/31/2021 06:35 AKST,100406.38,-17,64.98,,100596.62
12/31/2021 06:40 AKST,100406.38,-16,59.75,,100589.76
12/31/2021 06:45 AKST,100372.51,-17,64.98,,100562.69
12/31/2021 06:50 AKST,100372.51,-17,64.98,,100562.69
12/31/2021 06:53 AKST,100372.51,-16.7,64.98,100530,100560.63
12/31/2021 06:55 AKST,100372.51,-17,64.98,,100562.69
12/31/2021 07:00 AKST,100372.51,-17,64.98,,100562.69
12/31/2021 07:05 AKST,100372.51,-17,64.98,,100562.69
12/31/2021 07:10 AKST,100372.51,-17,64.98,,100562.69
12/31/2021 07:15 AKST,100372.51,-17,64.98,,100562.69
12/31/2021 07:20 AKST,100372.51,-17,64.98,,100562.69
12/31/2021 07:25 AKST,100372.51,-17,64.98,,100562.69
12/31/2021 07:30 AKST,100372.51,-17,64.98,,100562.69
12/31/2021 07:35 AKST,100372.51,-17,64.98,,100562.69
12/31/2021 07:40 AKST,100372.51,-18,64.72,,100569.61
12/31/2021 07:45 AKST,100372.51,-18,64.72,,100569.61
12/31/2021 07:50 AKST,100338.65,-17,59.46,,100528.77
12/31/2021 07:53 AKST,100338.65,-17.2,59.46,100500,100530.15
12/31/2021 07:55 AKST,100338.65,-17,59.46,,100528.77
12/31/2021 08:00 AKST,100338.65,-17,59.46,,100528.77
12/31/2021 08:05 AKST,100338.65,-17,64.98,,100528.77
12/31/2021 08:10 AKST,100338.65,-17,64.98,,100528.77
12/31/2021 08:15 AKST,100338.65,-17,64.98,,100528.77
12/31/2021 08:20 AKST,100338.65,-17,64.98,,100528.77
12/31/2021 08:25 AKST,100304.78,-17,64.98,,100494.84
12/31/2021 08:30 AKST,100338.65,-17,64.98,,100528.77
12/31/2021 08:35 AKST,100304.78,-17,64.98,,100494.84
12/31/2021 08:40 AKST,100304.78,-17,64.98,,100494.84
12/31/2021 08:45 AKST,100304.78,-17,64.98,,100494.84
12/31/2021 08:50 AKST,100304.78,-17,64.98,,100494.84
12/31/2021 08:53 AKST,100304.78,-16.7,64.98,100470,100492.78
12/31/2021 08:55 AKST,100304.78,-17,64.98,,100494.84
12/31/2021 09:00 AKST,100304.78,-17,64.98,,100494.84
12/31/2021 09:05 AKST,100304.78,-17,64.98,,100494.84
12/31/2021 09:10 AKST,100304.78,-17,64.98,,100494.84
12/31/2021 09:15 AKST,100304.78,-17,64.98,,100494.84
12/31/2021 09:20 AKST,100304.78,-17,64.98,,100494.84
12/31/2021 09:25 AKST,100304.78,-17,59.46,,100494.84
12/31/2021 09:30 AKST,100304.78,-17,59.46,,100494.84
12/31/2021 09:35 AKST,100304.78,-17,59.46,,100494.84
12/31/2021 09:40 AKST,100304.78,-17,59.46,,100494.84
12/31/2021 09:45 AKST,100304.78,-17,59.46,,100494.84
12/31/2021 09:50 AKST,100304.78,-17,59.46,,100494.84
12/31/2021 09:53 AKST,100304.78,-17.2,59.46,100440,100496.22
12/31/2021 09:55 AKST,100304.78,-17,59.46,,100494.84
12/31/2021 10:00 AKST,100304.78,-17,59.46,,100494.84
12/31/2021 10:05 AKST,100304.78,-17,59.46,,100494.84
12/31/2021 10:10 AKST,100270.92,-17,59.46,,100460.91
12/31/2021 10:15 AKST,100270.92,-17,59.46,,100460.91
12/31/2021 10:20 AKST,100270.92,-17,59.46,,100460.91
12/31/2021 10:25 AKST,100304.78,-17,59.46,,100494.84
12/31/2021 10:30 AKST,100304.78,-17,59.46,,100494.84
12/31/2021 10:35 AKST,100270.92,-17,59.46,,100460.91
12/31/2021 10:40 AKST,100270.92,-17,59.46,,100460.91
12/31/2021 10:45 AKST,100270.92,-17,59.46,,100460.91
12/31/2021 10:50 AKST,100270.92,-17,59.46,,100460.91
12/31/2021 10:53 AKST,100270.92,-17.2,59.46,100420,100462.29
12/31/2021 10:55 AKST,100270.92,-17,59.46,,100460.91
12/31/2021 11:00 AKST,100270.92,-17,59.46,,100460.91
12/31/2021 11:05 AKST,100270.92,-17,59.46,,100460.91
12/31/2021 11:10 AKST,100270.92,-17,59.46,,100460.91
12/31/2021 11:15 AKST,100270.92,-17,59.46,,100460.91
12/31/2021 11:20 AKST,100270.92,-17,59.46,,100460.91
12/31/2021 11:25 AKST,100270.92,-17,59.46,,100460.91
12/31/2021 11:30 AKST,100270.92,-17,59.46,,100460.91
12/31/2021 11:35 AKST,100270.92,-17,59.46,,100460.91
12/31/2021 11:40 AKST,100237.06,-17,59.46,,100426.99
12/31/2021 11:45 AKST,100237.06,-17,59.46,,100426.99
12/31/2021 11:50 AKST,100237.06,-17,59.46,,100426.99
12/31/2021 11:53 AKST,100237.06,-17.2,59.46,100370,100428.37
12/31/2021 11:55 AKST,100237.06,-17,59.46,,100426.99
12/31/2021 12:00 AKST,100237.06,-17,59.46,,100426.99
12/31/2021 12:05 AKST,100237.06,-17,59.46,,100426.99
12/31/2021 12:10 AKST,100237.06,-17,59.46,,100426.99
12/31/2021 12:15 AKST,100203.19,-17,59.46,,100393.06
12/31/2021 12:20 AKST,100237.06,-17,59.46,,100426.99
12/31/2021 12:25 AKST,100203.19,-17,59.46,,100393.06
12/31/2021 12:30 AKST,100203.19,-17,59.46,,100393.06
12/31/2021 12:35 AKST,100203.19,-17,59.46,,100393.06
12/31/2021 12:40 AKST,100203.19,-17,59.46,,100393.06
12/31/2021 12:45 AKST,100203.19,-17,59.46,,100393.06
12/31/2021 12:50 AKST,100203.19,-17,59.46,,100393.06
12/31/2021 12:53 AKST,100203.19,-17.2,59.46,100350,100394.43
12/31/2021 12:55 AKST,100203.19,-17,59.46,,100393.06
12/31/2021 13:00 AKST,100203.19,-17,59.46,,100393.06
12/31/2021 13:05 AKST,100203.19,-17,59.46,,100393.06
12/31/2021 13:10 AKST,100203.19,-17,59.46,,100393.06
12/31/2021 13:15 AKST,100203.19,-17,59.46,,100393.06
12/31/2021 13:20 AKST,100203.19,-17,59.46,,100393.06
12/31/2021 13:25 AKST,100169.33,-17,59.46,,100359.13
12/31/2021 13:30 AKST,100169.33,-17,59.46,,100359.13
12/31/2021 13:35 AKST,100169.33,-17,59.46,,100359.13
12/31/2021 13:40 AKST,100169.33,-17,59.46,,100359.13
12/31/2021 13:45 AKST,100169.33,-17,59.46,,100359.13
12/31/2021 13:50 AKST,100169.33,-17,59.46,,100359.13
12/31/2021 13:53 AKST,100169.33,-17.2,59.46,100310,100360.5
12/31/2021 13:55 AKST,100169.33,-17,59.46,,100359.13
12/31/2021 14:00 AKST,100169.33,-17,59.46,,100359.13
12/31/2021 14:05 AKST,100169.33,-17,59.46,,100359.13
12/31/2021 14:10 AKST,100169.33,-17,59.46,,100359.13
12/31/2021 14:15 AKST,100169.33,-17,59.46,,100359.13
12/31/2021 14:20 AKST,100169.33,-17,59.46,,100359.13
12/31/2021 14:25 AKST,100169.33,-17,59.46,,100359.13
12/31/2021 14:30 AKST,100169.33,-17,59.46,,100359.13
12/31/2021 14:35 AKST,100169.33,-17,59.46,,100359.13
12/31/2021 14:40 AKST,100169.33,-17,59.46,,100359.13
12/31/2021 14:45 AKST,100169.33,-17,59.46,,100359.13
12/31/2021 14:50 AKST,100169.33,-17,59.46,,100359.13
12/31/2021 14:53 AKST,100135.46,-17.2,59.46,100290,100326.58
12/31/2021 14:55 AKST,100135.46,-17,59.46,,100325.21
12/31/2021 15:00 AKST,100135.46,-17,59.46,,100325.21
12/31/2021 15:05 AKST,100135.46,-17,59.46,,100325.21
12/31/2021 15:10 AKST,100135.46,-17,59.46,,100325.21
12/31/2021 15:15 AKST,100135.46,-17,59.46,,100325.21
12/31/2021 15:20 AKST,100135.46,-17,59.46,,100325.21
12/31/2021 15:25 AKST,100135.46,-17,59.46,,100325.21
12/31/2021 15:30 AKST,100135.46,-17,59.46,,100325.21
12/31/2021 15:35 AKST,100135.46,-17,59.46,,100325.21
12/31/2021 15:40 AKST,100135.46,-17,59.46,,100325.21
12/31/2021 15:45 AKST,100135.46,-17,59.46,,100325.21
12/31/2021 15:50 AKST,100135.46,-17,59.46,,100325.21
12/31/2021 15:53 AKST,100101.6,-17.2,59.46,100260,100292.65
12/31/2021 15:55 AKST,100101.6,-17,59.46,,100291.27
12/31/2021 16:00 AKST,100101.6,-17,59.46,,100291.27
12/31/2021 16:05 AKST,100101.6,-17,59.46,,100291.27
12/31/2021 16:10 AKST,100101.6,-17,59.46,,100291.27
12/31/2021 16:15 AKST,100101.6,-17,59.46,,100291.27
12/31/2021 16:20 AKST,100101.6,-17,59.46,,100291.27
12/31/2021 16:25 AKST,100101.6,-17,59.46,,100291.27
12/31/2021 16:30 AKST,100101.6,-17,59.46,,100291.27
12/31/2021 16:35 AKST,100101.6,-17,59.46,,100291.27
12/31/2021 16:40 AKST,100101.6,-17,59.46,,100291.27
12/31/2021 16:45 AKST,100101.6,-17,59.46,,100291.27
12/31/2021 16:50 AKST,100101.6,-17,59.46,,100291.27
12/31/2021 16:53 AKST,100101.6,-17.2,59.46,100240,100292.65
12/31/2021 16:55 AKST,100101.6,-17,59.46,,100291.27
12/31/2021 17:00 AKST,100101.6,-18,64.72,,100298.17
12/31/2021 17:05 AKST,100101.6,-18,64.72,,100298.17
12/31/2021 17:10 AKST,100101.6,-18,64.72,,100298.17
12/31/2021 17:15 AKST,100101.6,-18,64.72,,100298.17
12/31/2021 17:20 AKST,100101.6,-18,64.72,,100298.17
12/31/2021 17:25 AKST,100101.6,-18,59.18,,100298.17
12/31/2021 17:30 AKST,100135.46,-18,59.18,,100332.1
12/31/2021 17:35 AKST,100101.6,-18,59.18,,100298.17
12/31/2021 17:40 AKST,100101.6,-18,59.18,,100298.17
12/31/2021 17:45 AKST,100101.6,-18,59.18,,100298.17
12/31/2021 17:50 AKST,100101.6,-18,59.18,,100298.17
12/31/2021 17:53 AKST,100135.46,-18.3,59.18,100260,100334.19
12/31/2021 17:55 AKST,100135.46,-18,59.18,,100332.1
12/31/2021 18:00 AKST,100135.46,-18,59.18,,100332.1
12/31/2021 18:05 AKST,100135.46,-18,59.18,,100332.1
12/31/2021 18:10 AKST,100135.46,-18,59.18,,100332.1
12/31/2021 18:15 AKST,100135.46,-19,58.89,,100339.06
12/31/2021 18:20 AKST,100135.46,-19,58.89,,100339.06
12/31/2021 18:25 AKST,100135.46,-19,58.89,,100339.06
12/31/2021 18:30 AKST,100135.46,-19,58.89,,100339.06
12/31/2021 18:35 AKST,100135.46,-19,58.89,,100339.06
12/31/2021 18:40 AKST,100135.46,-19,53.76,,100339.06
12/31/2021 18:45 AKST,100169.33,-19,53.76,,100372.98
12/31/2021 18:50 AKST,100169.33,-19,53.76,,100372.98
12/31/2021 18:53 AKST,100169.33,-19.4,53.76,100300,100375.78
12/31/2021 18:55 AKST,100169.33,-19,53.76,,100372.98
12/31/2021 19:00 AKST,100169.33,-20,58.6,,100380
12/31/2021 19:05 AKST,100169.33,-20,58.6,,100380
12/31/2021 19:10 AKST,100169.33,-20,58.6,,100380
12/31/2021 19:15 AKST,100169.33,-21,58.31,,100387.06
12/31/2021 19:20 AKST,100203.19,-21,58.31,,100421
12/31/2021 19:25 AKST,100203.19,-21,58.31,,100421
12/31/2021 19:30 AKST,100203.19,-21,58.31,,100421
12/31/2021 19:35 AKST,100203.19,-21,58.31,,100421
12/31/2021 19:40 AKST,100237.06,-21,58.31,,100454.94
12/31/2021 19:45 AKST,100237.06,-21,58.31,,100454.94
12/31/2021 19:50 AKST,100237.06,-22,63.66,,100462.07
12/31/2021 19:53 AKST,100237.06,-21.1,58.31,100400,100455.65
12/31/2021 19:55 AKST,100237.06,-21,58.31,,100454.94
12/31/2021 20:00 AKST,100237.06,-22,63.66,,100462.07
12/31/2021 20:05 AKST,100237.06,-21,58.31,,100454.94
12/31/2021 20:10 AKST,100237.06,-22,63.66,,100462.07
12/31/2021 20:15 AKST,100237.06,-22,63.66,,100462.07
12/31/2021 20:20 AKST,100237.06,-23,69.56,,100469.26
12/31/2021 20:25 AKST,100237.06,-23,69.56,,100469.26
12/31/2021 20:30 AKST,100237.06,-23,69.56,,100469.26
12/31/2021 20:35 AKST,100237.06,-23,69.56,,100469.26
12/31/2021 20:40 AKST,100237.06,-23,69.56,,100469.26
12/31/2021 20:45 AKST,100237.06,-22,63.66,,100462.07
12/31/2021 20:50 AKST,100237.06,-22,63.66,,100462.07
12/31/2021 20:53 AKST,100237.06,-22.8,69.56,100400,100467.82
12/31/2021 20:55 AKST,100237.06,-23,69.56,,100469.26
12/31/2021 21:00 AKST,100270.92,-23,69.56,,100503.19
12/31/2021 21:05 AKST,100270.92,-23,69.56,,100503.19
12/31/2021 21:10 AKST,100270.92,-23,69.56,,100503.19
12/31/2021 21:15 AKST,100270.92,-23,69.56,,100503.19
12/31/2021 21:20 AKST,100270.92,-23,69.56,,100503.19
12/31/2021 21:25 AKST,100270.92,-23,69.56,,100503.19
12/31/2021 21:30 AKST,100270.92,-23,69.56,,100503.19
12/31/2021 21:35 AKST,100304.78,-23,69.56,,100537.14
12/31/2021 21:40 AKST,100304.78,-23,69.56,,100537.14
12/31/2021 21:45 AKST,100304.78,-23,69.56,,100537.14
12/31/2021 21:50 AKST,100304.78,-23,69.56,,100537.14
12/31/2021 21:53 AKST,100304.78,-23.3,69.56,100450,100539.31
12/31/2021 21:55 AKST,100304.78,-23,69.56,,100537.14
12/31/2021 22:00 AKST,100304.78,-23,69.56,,100537.14
12/31/2021 22:05 AKST,100304.78,-23,69.56,,100537.14
12/31/2021 22:10 AKST,100304.78,-23,69.56,,100537.14
12/31/2021 22:15 AKST,100304.78,-23,69.56,,100537.14
12/31/2021 22:20 AKST,100304.78,-23,69.56,,100537.14
12/31/2021 22:25 AKST,100338.65,-23,63.39,,100571.08
12/31/2021 22:30 AKST,100338.65,-24,69.32,,100578.33
12/31/2021 22:35 AKST,100338.65,-24,69.32,,100578.33
12/31/2021 22:40 AKST,100338.65,-24,69.32,,100578.33
12/31/2021 22:45 AKST,100338.65,-24,69.32,,100578.33
12/31/2021 22:50 AKST,100338.65,-24,69.32,,100578.33
12/31/2021 22:53 AKST,100372.51,-24.4,69.32,100520,100615.19
12/31/2021 22:55 AKST,100372.51,-24,69.32,,100612.27
12/31/2021 23:00 AKST,100372.51,-24,69.32,,100612.27
12/31/2021 23:05 AKST,100372.51,-24,63.12,,100612.27
12/31/2021 23:10 AKST,100406.38,-24,69.32,,100646.22
12/31/2021 23:15 AKST,100406.38,-25,69.08,,100653.53
12/31/2021 23:20 AKST,100406.38,-26,75.67,,100660.91
12/31/2021 23:25 AKST,100406.38,-26,75.67,,100660.91
12/31/2021 23:30 AKST,100406.38,-26,68.84,,100660.91
12/31/2021 23:35 AKST,100406.38,-26,75.67,,100660.91
12/31/2021 23:40 AKST,100440.24,-26,68.84,,100694.86
12/31/2021 23:45 AKST,100440.24,-26,68.84,,100694.86
12/31/2021 23:50 AKST,100474.1,-26,68.84,,100728.81
12/31/2021 23:53 AKST,100474.1,-26.1,75.67,100630,100729.55
12/31/2021 23:55 AKST,100474.1,-26,75.67,,100728.8
01/01/2022 00:00 AKST,100474.1,-26,75.67,,100728.8
01/01/2022 00:05 AKST,100474.1,-26,75.67,,100728.8
01/01/2022 00:10 AKST,100507.97,-25,69.08,,100755.38
01/01/2022 00:15 AKST,100507.97,-24,63.12,,100748.05
01/01/2022 00:20 AKST,100507.97,-24,69.32,,100748.05
01/01/2022 00:25 AKST,100541.83,-22,63.66,,100767.53
01/01/2022 00:30 AKST,100541.83,-22,63.66,,100767.53
01/01/2022 00:35 AKST,100541.83,-22,58.01,,100767.53
01/01/2022 00:40 AKST,100541.83,-22,58.01,,100767.53
01/01/2022 00:45 AKST,100541.83,-22,58.01,,100767.53
01/01/2022 00:50 AKST,100575.69,-22,58.01,,100801.47
01/01/2022 00:53 AKST,100575.69,-22.2,58.01,100720,100802.91
01/01/2022 00:55 AKST,100575.69,-22,58.01,,100801.47
01/01/2022 01:00 AKST,100575.69,-22,58.01,,100801.47
01/01/2022 01:05 AKST,100575.69,-22,58.01,,100801.47
01/01/2022 01:10 AKST,100575.69,-22,58.01,,100801.47
01/01/2022 01:15 AKST,100609.56,-22,58.01,,100835.4
01/01/2022 01:20 AKST,100609.56,-22,58.01,,100835.4
01/01/2022 01:25 AKST,100609.56,-22,58.01,,100835.4
01/01/2022 01:30 AKST,100643.42,-22,58.01,,100869.35
01/01/2022 01:35 AKST,100643.42,-22,58.01,,100869.35
01/01/2022 01:40 AKST,100643.42,-22,58.01,,100869.35
01/01/2022 01:45 AKST,100677.29,-22,58.01,,100903.29
01/01/2022 01:50 AKST,100677.29,-22,58.01,,100903.29
01/01/2022 01:53 AKST,100677.29,-22.2,58.01,100840,100904.73
01/01/2022 01:55 AKST,100677.29,-22,58.01,,100903.29
01/01/2022 02:00 AKST,100711.15,-22,58.01,,100937.22
01/01/2022 02:05 AKST,100711.15,-22,58.01,,100937.22
01/01/2022 02:10 AKST,100711.15,-22,58.01,,100937.22
01/01/2022 02:15 AKST,100711.15,-22,58.01,,100937.22
01/01/2022 02:20 AKST,100711.15,-22,58.01,,100937.22
01/01/2022 02:25 AKST,100711.15,-22,58.01,,100937.22
01/01/2022 02:30 AKST,100711.15,-22,58.01,,100937.22
01/01/2022 02:35 AKST,100745.01,-22,58.01,,100971.16
01/01/2022 02:40 AKST,100745.01,-22,58.01,,100971.16
01/01/2022 02:45 AKST,100745.01,-22,58.01,,100971.16
01/01/2022 02:50 AKST,100778.88,-23,69.56,,101012.33
01/01/2022 02:53 AKST,100778.88,-22.8,63.39,100930,101010.88
01/01/2022 02:55 AKST,100778.88,-23,63.39,,101012.33
01/01/2022 03:00 AKST,100778.88,-23,63.39,,101012.33
01/01/2022 03:05 AKST,100812.74,-23,63.39,,101046.28
01/01/2022 03:10 AKST,100812.74,-23,63.39,,101046.28
01/01/2022 03:15 AKST,100812.74,-23,63.39,,101046.28
01/01/2022 03:20 AKST,100812.74,-23,63.39,,101046.28
01/01/2022 03:25 AKST,100846.6,-23,63.39,,101080.21
01/01/2022 03:30 AKST,100812.74,-23,63.39,,101046.28
01/01/2022 03:35 AKST,100846.6,-23,63.39,,101080.21
01/01/2022 03:40 AKST,100846.6,-23,63.39,,101080.21
01/01/2022 03:45 AKST,100846.6,-23,63.39,,101080.21
01/01/2022 03:50 AKST,100880.47,-23,63.39,,101114.16
01/01/2022 03:53 AKST,100880.47,-22.8,63.39,101030,101112.71
01/01/2022 03:55 AKST,100880.47,-23,63.39,,101114.16
01/01/2022 04:00 AKST,100880.47,-23,63.39,,101114.16
01/01/2022 04:05 AKST,100880.47,-23,63.39,,101114.16
01/01/2022 04:10 AKST,100914.33,-23,63.39,,101148.1
01/01/2022 04:15 AKST,100914.33,-23,63.39,,101148.1
01/01/2022 04:20 AKST,100914.33,-23,63.39,,101148.1
01/01/2022 04:25 AKST,100914.33,-23,63.39,,101148.1
01/01/2022 04:30 AKST,100914.33,-23,63.39,,101148.1
01/01/2022 04:35 AKST,100948.2,-23,63.39,,101182.04
01/01/2022 04:40 AKST,100948.2,-23,57.71,,101182.04
01/01/2022 04:45 AKST,100948.2,-23,57.71,,101182.04
01/01/2022 04:50 AKST,100982.06,-23,57.71,,101215.98
01/01/2022 04:53 AKST,100982.06,-23.3,57.71,101130,101218.17
01/01/2022 04:55 AKST,100982.06,-23,57.71,,101215.98
01/01/2022 05:00 AKST,100982.06,-23,57.71,,101215.98
01/01/2022 05:05 AKST,100982.06,-23,57.71,,101215.98
01/01/2022 05:10 AKST,100982.06,-24,63.12,,101223.28
01/01/2022 05:15 AKST,101015.92,-24,63.12,,101257.23
01/01/2022 05:20 AKST,101015.92,-24,63.12,,101257.23
01/01/2022 05:25 AKST,101015.92,-24,57.41,,101257.23
01/01/2022 05:30 AKST,101049.79,-24,57.41,,101291.17
01/01/2022 05:35 AKST,101049.79,-24,57.41,,101291.17
01/01/2022 05:40 AKST,101049.79,-24,57.41,,101291.17
01/01/2022 05:45 AKST,101083.65,-24,57.41,,101325.12
01/01/2022 05:50 AKST,101083.65,-24,57.41,,101325.12
01/01/2022 05:53 AKST,101083.65,-24.4,52.18,101240,101328.05
01/01/2022 05:55 AKST,101083.65,-24,52.18,,101325.12
01/01/2022 06:00 AKST,101083.65,-24,52.18,,101325.12
